         2664652 function calls (2664531 primitive calls) in 24.302 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:34(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:45(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:609(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:98(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2017(Chebyshev)
        1    0.000    0.000    0.001    0.001 chebyshev.py:87(<module>)
        1    0.002    0.002    0.002    0.002 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        2    0.002    0.001    0.003    0.001 collections.py:288(namedtuple)
       46    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
        8    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
        8    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:387(Counter)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:132(closing)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:9(GeneratorContextManager)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1032(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       40    0.001    0.000    0.006    0.000 core.py:109(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:128(MAError)
        1    0.000    0.000    0.000    0.000 core.py:131(MaskError)
        1    0.001    0.001    0.009    0.009 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2248(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2253(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2397(_arraymethod)
        9    0.000    0.000    0.000    0.000 core.py:2426(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2432(getdoc)
        4    0.000    0.000    0.000    0.000 core.py:2439(__get__)
        1    0.000    0.000    0.000    0.000 core.py:2466(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2579(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:5587(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:5783(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:5789(__new__)
        1    0.000    0.000    0.000    0.000 core.py:5792(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:5893(_extrema_operation)
        1    0.000    0.000    0.000    0.000 core.py:5948(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5950(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5960(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5962(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6004(_frommethod)
       23    0.000    0.000    0.005    0.000 core.py:6014(__init__)
       23    0.000    0.000    0.005    0.000 core.py:6019(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7225(_convert2ma)
        8    0.000    0.000    0.001    0.000 core.py:7237(__init__)
        8    0.000    0.000    0.001    0.000 core.py:7242(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:734(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:742(__init__)
        1    0.000    0.000    0.000    0.000 core.py:756(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:762(__init__)
        1    0.000    0.000    0.000    0.000 core.py:772(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:774(__init__)
        1    0.000    0.000    0.000    0.000 core.py:787(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:789(__init__)
        1    0.000    0.000    0.000    0.000 core.py:799(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:801(__init__)
        1    0.000    0.000    0.000    0.000 core.py:810(_MaskedUnaryOperation)
       27    0.000    0.000    0.001    0.000 core.py:827(__init__)
        1    0.000    0.000    0.000    0.000 core.py:887(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:906(__init__)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:150(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.001    0.001    0.004    0.004 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.002    0.002    0.004    0.004 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1672(HtmlDiff)
        1    0.000    0.000    0.004    0.004 difflib.py:29(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:46(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:766(Differ)
        1    0.000    0.000    0.002    0.002 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1455(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1467(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1521(mr_class)
